Date,variable,value
28/03/20,Actual_I,57695
29/03/20,Actual_I,62095
30/03/20,Actual_I,66885
31/03/20,Actual_I,71808
01/04/20,Actual_I,77872
02/04/20,Actual_I,84794
03/04/20,Actual_I,91159
04/04/20,Actual_I,96092
05/04/20,Actual_I,100123
06/04/20,Actual_I,103374
07/04/20,Actual_I,107663
08/04/20,Actual_I,113296
09/04/20,Actual_I,118181
10/04/20,Actual_I,122171
11/04/20,Actual_I,124908
12/04/20,Actual_I,127854
13/04/20,Actual_I,130072
14/04/20,Actual_I,131359
15/04/20,Actual_I,134753
16/04/20,Actual_I,137698
17/04/20,Actual_I,141397
18/04/20,Actual_I,143342
19/04/20,Actual_I,145184
20/04/20,Actual_I,147065
21/04/20,Actual_I,148291
22/04/20,Actual_I,150648
23/04/20,Actual_I,153129
24/04/20,Actual_I,154999
25/04/20,Actual_I,156513
26/04/20,Actual_I,157770
27/04/20,Actual_I,158758
27/01/20,Actual_R,0
28/01/20,Actual_R,0
29/01/20,Actual_R,0
30/01/20,Actual_R,0
31/01/20,Actual_R,0
01/02/20,Actual_R,0
02/02/20,Actual_R,0
03/02/20,Actual_R,0
04/02/20,Actual_R,0
05/02/20,Actual_R,0
06/02/20,Actual_R,0
07/02/20,Actual_R,0
08/02/20,Actual_R,0
09/02/20,Actual_R,0
10/02/20,Actual_R,0
11/02/20,Actual_R,0
12/02/20,Actual_R,0
13/02/20,Actual_R,1
14/02/20,Actual_R,1
15/02/20,Actual_R,1
16/02/20,Actual_R,1
17/02/20,Actual_R,1
18/02/20,Actual_R,12
19/02/20,Actual_R,12
20/02/20,Actual_R,12
21/02/20,Actual_R,14
22/02/20,Actual_R,14
23/02/20,Actual_R,14
24/02/20,Actual_R,14
25/02/20,Actual_R,14
26/02/20,Actual_R,15
27/02/20,Actual_R,16
28/02/20,Actual_R,16
29/02/20,Actual_R,16
01/03/20,Actual_R,16
02/03/20,Actual_R,16
03/03/20,Actual_R,16
04/03/20,Actual_R,16
05/03/20,Actual_R,16
06/03/20,Actual_R,17
07/03/20,Actual_R,18
08/03/20,Actual_R,18
09/03/20,Actual_R,20
10/03/20,Actual_R,20
11/03/20,Actual_R,28
12/03/20,Actual_R,28
13/03/20,Actual_R,53
